"","Code","GDP.grow","light.grow","SCI","bad"
"1","AGO",6.87075824388836,3.89304693517577,30,1
"6","BDI",-0.706048848638146,0.0183828685702445,20,1
"7","BEN",4.33562675082925,2.35877427002484,50,1
"8","BFA",5.77472771195719,5.8412429844981,80,1
"15","CAF",2.31153926834656,-3.23679633824315,50,1
"18","CIV",1.83071779159713,7.36646617767999,80,1
"19","CMR",3.53289754786982,0.896161243495514,30,1
"20","COD",-0.725848651974395,0.902778652181781,10,1
"21","COG",2.51343827513895,8.04919354154783,30,1
"25","DZA",3.45459714659051,0.302940599601247,60,1
"28","ERI",4.26005044735435,7.43345774631649,20,1
"32","GHA",4.49875677105457,3.22490817152344,40,1
"34","GMB",3.06853495248548,3.30159045954545,80,1
"35","GNB",0.682282641330955,-5.11479842303811,30,1
"40","IRN",3.19444798954408,3.40223585145456,50,1
"48","LBN",3.38497067138147,5.7639594980111,20,1
"49","LBR",6.65845212706606,15.3667352844867,0,1
"53","MDG",2.70793801012619,1.75043601283766,60,1
"56","MLI",5.13567415613136,6.87083731621494,60,1
"57","MMR",9.56696089518095,1.60505977273821,50,1
"60","MRT",3.99914201734203,4.16357315030629,60,1
"65","NER",3.35090338449357,1.62678825164142,60,1
"66","NGA",5.53546648136604,-3.06998821280123,40,1
"78","RWA",3.47261607936239,-1.93924781942559,60,1
"79","SDN",5.70587818331254,4.11551291437963,20,1
"81","SLE",2.38039349603671,-0.328775057166922,20,1
"83","SWZ",3.39484040121256,4.01714371598014,80,1
"99","VNM",7.05922860528394,10.5494450088731,80,1
